ticker,total_usd,average_cost_per_share
AEP,2173,105.08
AIG,1997,81.17
ATO,4831,151.88
CI,1482,294.50
DUK,9501,115.65
HON,669,235.55
KO,2756,69.49
MSFT,9755,449.89
PGR,4830,245.60
PKG,2036,198.10
STE,2282,227.46
TMUS,4778,233.66
TRGP,4370,162.74
TRV,1293,254.59
VRSK,2061,300.00
VRTX,9314,460.77
VTR,1991,62.75
WMT,3431,93.02
WTW,2124,300.00
IWM,2236,214.00
JPST,54691,50.49
QQQ,5121,477.72
SPY,3819,559.92
